Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand
C5AD 24xlarge,c5ad.24xlarge,192,96,3800 GB (2×1900 GB NVMe SSD),20.0,4.128
C6ID 16xlarge,c6id.16xlarge,128,64,3800 GB (2×1900 GB NVMe SSD),25.0,3.2256
U-3TB1 56xlarge,u-3tb1.56xlarge,3072,224,EBS only,50.0,27.3
M5ZN 12xlarge,m5zn.12xlarge,192,48,EBS only,100.0,3.9641
M6G Extra Large,m6g.xlarge,16,4,EBS only,10.0,0.154
G6 Graphics and Machine Learning GPU Double Extra Large,g6.2xlarge,32,8,450 GB NVMe SSD,10.0,0.9776
M7GD Metal,m7gd.metal,256,64,3800 GB (2×1900 GB NVMe SSD),30.0,3.4171
R8GD 24xlarge,r8gd.24xlarge,768,96,5700 GB (3×1900 GB NVMe SSD),40.0,7.0541
C5 High-CPU Quadruple Extra Large,c5d.4xlarge,32,16,400 GB NVMe SSD,10.0,0.768
C8GD Metal-24xl,c8gd.metal-24xl,192,96,5700 GB (3×1900 GB NVMe SSD),40.0,4.703
R7G Metal,r7g.metal,512,64,EBS only,30.0,3.4272
I4G Large,i4g.large,16,2,468 GB NVMe SSD,10.0,0.1544
M6IDN Quadruple Extra Large,m6idn.4xlarge,64,16,950 GB NVMe SSD,50.0,1.273
M8G Metal-48xl,m8g.metal-48xl,768,192,EBS only,50.0,8.617
M6IDN 12xlarge,m6idn.12xlarge,192,48,2850 GB (2×1425 GB NVMe SSD),75.0,3.8189
M6G Double Extra Large,m6g.2xlarge,32,8,EBS only,10.0,0.308
C6I 32xlarge,c6i.32xlarge,256,128,EBS only,50.0,5.44
T2 Double Extra Large,t2.2xlarge,32,8,EBS only,51.96050223214286,0.3712
R6A 48xlarge,r6a.48xlarge,1536,192,EBS only,50.0,10.8864
X1E Eight Extra Large,x1e.8xlarge,976,32,960 GB SSD,10.0,6.672
R5N Double Extra Large,r5n.2xlarge,64,8,EBS only,25.0,0.596
I3 High I/O 16xlarge,i3.16xlarge,488,64,15200 GB (8×1900 GB NVMe SSD),25.0,4.992
R5 Eight Extra Large,r5.8xlarge,256,32,EBS only,10.0,2.016
I3EN Metal,i3en.metal,768,96,60000 GB (8×7500 GB NVMe SSD),100.0,10.848
G4AD Extra Large,g4ad.xlarge,16,4,150 GB NVMe SSD,10.0,0.3785
M6A 32xlarge,m6a.32xlarge,512,128,EBS only,50.0,5.5296
R6I 12xlarge,r6i.12xlarge,384,48,EBS only,18.75,3.024
R7IZ Double Extra Large,r7iz.2xlarge,64,8,EBS only,12.5,0.744
I2 Eight Extra Large,i2.8xlarge,244,32,6400 GB (8×800 GB SSD),10.0,6.82
D3 Quadruple Extra Large,d3.4xlarge,128,16,23760 GB (12×1980 GB NVMe HDD),15.0,1.998
C5AD Extra Large,c5ad.xlarge,8,4,150 GB NVMe SSD,10.0,0.172
U-24TB1 112xlarge,u-24tb1.112xlarge,24576,448,EBS only,100.0,218.4
R5 Large,r5.large,16,2,EBS only,10.0,0.126
I7IE Double Extra Large,i7ie.2xlarge,64,8,5000 GB (2×2500 GB NVMe SSD),25.0,1.0396
C7G Quadruple Extra Large,c7g.4xlarge,32,16,EBS only,15.0,0.58
R5N 12xlarge,r5n.12xlarge,384,48,EBS only,50.0,3.576
M7GD Double Extra Large,m7gd.2xlarge,32,8,474 GB NVMe SSD,15.0,0.4271
I7IE Metal-24xl,i7ie.metal-24xl,768,96,60000 GB (8×7500 GB NVMe SSD),100.0,12.4752
M5 General Purpose Quadruple Extra Large,m5d.4xlarge,64,16,600 GB (2×300 GB NVMe SSD),10.0,0.904
M5 General Purpose 12xlarge,m5d.12xlarge,192,48,1800 GB (2×900 GB NVMe SSD),12.0,2.712
G6e Graphics and Machine Learning GPU Quadruple Extra Large,g6e.4xlarge,128,16,600 GB NVMe SSD,20.0,3.0042
C7GD 12xlarge,c7gd.12xlarge,96,48,2850 GB (2×1425 GB NVMe SSD),22.5,2.1773
M6GD Metal,m6gd.metal,256,64,3800 GB (2×1900 GB NVMe SSD),25.0,2.8928
G4DN 12xlarge,g4dn.12xlarge,192,48,900 GB NVMe SSD,50.0,3.912
M4 General Purpose Extra Large,m4.xlarge,16,4,EBS only,51.96050223214286,0.2
M6IDN Large,m6idn.large,8,2,118 GB NVMe SSD,25.0,0.1591
M5A Quadruple Extra Large,m5a.4xlarge,64,16,EBS only,10.0,0.688
C7I Quadruple Extra Large,c7i.4xlarge,32,16,EBS only,12.5,0.714
INF1 6xlarge,inf1.6xlarge,48,24,EBS only,25.0,1.18
M5AD Double Extra Large,m5ad.2xlarge,32,8,300 GB NVMe SSD,10.0,0.412
G3S Extra Large,g3s.xlarge,30,4,EBS only,10.0,0.75
M6G Quadruple Extra Large,m6g.4xlarge,64,16,EBS only,10.0,0.616
R7I Metal-48xl,r7i.metal-48xl,1536,192,EBS only,50.0,12.7008
X2IDN 24xlarge,x2idn.24xlarge,1536,96,2850 GB (2×1425 GB NVMe SSD),75.0,10.0035
R6ID 12xlarge,r6id.12xlarge,384,48,2850 GB (2×1425 GB NVMe SSD),18.75,3.6288
G6 Graphics and Machine Learning GPU 12xlarge,g6.12xlarge,192,48,3760 GB (4×940 GB NVMe SSD),40.0,4.6016
X2IEDN Quadruple Extra Large,x2iedn.4xlarge,512,16,475 GB NVMe SSD,25.0,3.3345
Z1D 6xlarge,z1d.6xlarge,192,24,900 GB NVMe SSD,12.0,2.232
R8GD Eight Extra Large,r8gd.8xlarge,256,32,1900 GB NVMe SSD,15.0,2.3514
M6I Metal,m6i.metal,512,128,EBS only,50.0,6.144
T3 Small,t3.small,2,2,EBS only,5.0,0.0208
C7GD Double Extra Large,c7gd.2xlarge,16,8,474 GB NVMe SSD,15.0,0.3629
T4G Small,t4g.small,2,2,EBS only,5.0,0.0168
C5 High-CPU 12xlarge,c5d.12xlarge,96,48,1800 GB (2×900 GB NVMe SSD),12.0,2.304
